tourism,location_in_tweet,vacation,political_issues,hotel,restaurant
service sector,anopolis,stop,,house,diner
business,akrotiri,day of rest,,place,eating place
navigation,alikianos,break,,pleasure dome,lunch counter
excursion,deres,off,,guestroom,eating
cruising,elos,intermission,,bedrooms,eating place
ride,epanochori,rest,,parking deck,resturant
trip,gavalochori,relaxation,,away,breakfast room
flying,kalami,visit,,brunch,location
walk,kandanos,free,,at hotel,hostelry
swing,kefali,cross,,auberge,guests
conveyance,kournas,downtime,,chalet,food court
mobility,mournies,lie down,,shelter,sold
flow,papadiana,resort,,roadhouse,diner
shipment,rodopos,summer holiday,,bar place,eating-house
transmission,rodovani,vacation spot,,hotels,diners
circulation,souda,some time off,,dwelling,cuisine
peregrination,stylos,public holiday,,place,steak house
trajectory,topolia,my leave,,house,lodging house
march,vamos,his leave,,abode,brewery
journey,voukolies,spend the holiday,,place,brewing
sailing,vryses,interlude,,house,timbered
biking,loutro,break,,pension,cafe
hop,prases,calm,,parking area,hole-in-the-wall
junket,therissos,interval,,located,restorations
ramble,nerokouros,break,,cosiness,dining-room
riding,elafonisi,calm,,hotel room,this restaurant
seafaring,balos,idleness,,guests,staff
voyage+AA2:A107,falassarna,inactivity,,hotel business,dinning room
,frangokastello beach,immobility,,hotel trade,hosteleria
,pahia ammos,spare time,,at a hotel,hospitality industry
,georgioupolis,relaxation,,hospitality industry,from the hotel
,sfakia beach,recreation,,cottage,from hotel
,loutraki,discharge,,building,at the hotel
,maleme,departures,,gatehouse,physical restoration
,souda beach,egress,,hospice,foodservice
,agia marina,retreat,,chalet,informal restaurant
,agioi apostoloi,escape,,remedy,second-class hotel
,drapanias,time out,,rooming house,tearooms
,finikas,leisure,,place,catering trade
,germaniko pouli,relaxation,,board,food service industry
,gialiskari,go on leave,,camp,by the cafe
,glyka nera,play,,house,spot of supper
,golden beach,restitution,,resturant,dining-car
,grammeno,diversion,,buffett,saloon
,kalamaki,pleasure,,food,diner
,kalathas,regeneration,,our hotel,eating place
,kalyves,recess,,diner,estaminet
,kiani akti,retirement,,alimony,eating house
,kissamos beach,separation,,piscine,eatery
,kolimbari,passage,,receipt,pub
,koutelos,cruise,,allowance,eating house 
,krios,move,,innkeeper,eatery
,marathi,drive,,mellon,pot house
,orthi ammos,go camping,,at the inn,eating house
,sfinari,move,,spa,abode
,sougia,take the day off,,abode,porterhouse
,stalos,spend a holiday,,remedy,eating 
,stavros,unwind,,poorhouse,dining
,tavronitis,rely,,flat,lunch place
,tripiti,taking a break,,place,place
,votsalo,period,,lap,eating
,votsalo,vacancies,,house,dressed to the nines
,platanias,little vacation,,place,go to dinner
,paleohora beach,little vacay,,comfortable,joint
,halikia,for a vacation,,facilities,store
,Anogia,leisure activities,,,european cuisine
,Agia Galini,thanksgiving,,,rooms
,Plakias,,,,alehouse
,Argiroupolis,,,,small restaurant
,Spili,,,,at retail
,Agios Vasilios,,,,chashitsu tea room
,Atsipopoulo,,,,cook
,Melambes,,,,accommodation
,Myrthios,,,,town house
,Prasses,,,,kitchen area
,Agia Galini Beach,,,,
,Bali,,,,
,Preveli,,,,
,Panormos,,,,
,Plakias Beach,,,,
,Rodakino,,,,
,Triopetra,,,,
,Agios Pavlos,,,,
,anogia,,,,
,agia galini,,,,
,plakias,,,,
,argiroupolis,,,,
,spili,,,,
,agios vasilios,,,,
,atsipopoulo,,,,
,melambes,,,,
,myrthios,,,,
,prasses,,,,
,agia galini beach,,,,
,bali,,,,
,preveli,,,,
,panormos,,,,
,plakias beach,,,,
,rodakino,,,,
,triopetra,,,,
,agios pavlos,,,,
,Enetiko,,,,
,Geropotamos,,,,
,Misiria,,,,
,Petres,,,,
,Agios Georgios,,,,
,Pigianos Kampos,,,,
,Perivolia,,,,
,geropotamos,,,,
,misiria,,,,
,petres,,,,
,agios georgios,,,,
,pigianos kampos,,,,
,perivolia,,,,
,Matala,,,,
,Agia Pelagia,,,,
,Malia,,,,
,Agiofaraggo,,,,
,Tymbaki,,,,
,Tobrouk,,,,
,Lygaria,,,,
,Amoudara,,,,
,Amnissos,,,,
,Stalida,,,,
,Hersonissos,,,,
,Kokkini Hani,,,,
,Tsoutsouros,,,,
,Fodele,,,,
,Agia Pelagia Psaromoura,,,,
,Agia Pelagia Mononaftis,,,,
,Dermatos,,,,
,Analipsi,,,,
,Gouves,,,,
,Karteros,,,,
,Keratokambos,,,,
,Kokkinos Pyrgos,,,,
,Komos,,,,
,Paleokastro,,,,
,Psari Forada,,,,
,Sidonia,,,,
,Tertsa,,,,
,matala,,,,
,agia pelagia,,,,
,malia,,,,
,agiofaraggo,,,,
,tymbaki,,,,
,tobrouk,,,,
,lygaria,,,,
,amoudara,,,,
,amnissos,,,,
,stalida,,,,
,hersonissos,,,,
,kokkini hani,,,,
,tsoutsouros,,,,
,fodele,,,,
,agia pelagia psaromoura,,,,
,agia pelagia mononaftis,,,,
,dermatos,,,,
,analipsi,,,,
,gouves,,,,
,karteros,,,,
,keratokambos,,,,
,kokkinos pyrgos,,,,
,komos,,,,
,paleokastro,,,,
,psari forada,,,,
,sidonia,,,,
,tertsa,,,,
,Vai,,,,
,Makrigialos,,,,
,Istro beach,,,,
,Xerokampos,,,,
,Palekastro,,,,
,Havania,,,,
,Kato Zakros,,,,
,Amoudara,,,,
,Agia Fotia,,,,
,Sissi beach,,,,
,Sissi beach,,,,
,Pahia Ammos,,,,
,Hiona,,,,
,Almiros,,,,
,Agios Nikolaos Beach,,,,
,Itanos,,,,
,Maridatis,,,,
,Papadiokampos,,,,
,vai,,,,
,makrigialos,,,,
,istro beach,,,,
,xerokampos,,,,
,palekastro,,,,
,havania,,,,
,kato zakros,,,,
,amoudara,,,,
,agia fotia,,,,
,sissi beach,,,,
,sissi beach,,,,
,pahia ammos,,,,
,hiona,,,,
,almiros,,,,
,agios nikolaos beach,,,,
,itanos,,,,
,maridatis,,,,
,papadiokampos,,,,
,Palm Forest,,,,
,Windmills,,,,
,Agios Nikolaos,,,,
,Tzermiado,,,,
,Ierapetra,,,,
,Sissi,,,,
,Sitia,,,,
,Elounda,,,,
,Neapolis,,,,
,Kritsa,,,,
,Plaka,,,,
,Zakros,,,,
,Milatos,,,,
,Mochlos,,,,
,Ziros,,,,
,Kalamafka,,,,
,Tourloti,,,,
,Makris Gialos,,,,
,Knossos,,,,
,Crete,,,,
,"?????, ?????",,,,
,Khania,,,,
,,,,,
,Rethymno,,,,
,Siteia,,,,
,siteia,,,,
,Pachia Ammos,,,,
,Vasiliki,,,,
,Stavros (Kapistri),,,,
,Episkopi,,,,
,Kentri,,,,
,Vainia (Giannitsi),,,,
,Koutsounari,,,,
,Ferma,,,,
,Agios Ioannis,,,,
,Agia Fotia,,,,
,Schinokapsala,,,,
,Koutsouras,,,,
,Makrygialos,,,,
,Analipsi,,,,
,Pefki,,,,
,Agios Stefanos (Gras),,,,
,Stavrochori,,,,
,Oreino,,,,
,Monastiraki,,,,
,Thripti,,,,
,Kavousi,,,,
,Trapeza,,,,
,Bebonas,,,,
,Chrisopigi (Roukakas),,,,
,Aorion,,,,
,Dafni,,,,
,Lastros,,,,
,Mochlos,,,,
,Sfaka,,,,
,Tourloti,,,,
,Agios Andreas,,,,
,Myrsini,,,,
,Mesa Mouliana,,,,
,Exo Mouliana,,,,
,Kalavros,,,,
,Chamezi,,,,
,Skopi,,,,
,Paraspori,,,,
,Achladia,,,,
,Sitia,,,,
,Piskokefalo,,,,
,Kato Episkopi,,,,
,Petras,,,,
,Agia Fotia,,,,
,Roussa Ekklisia,,,,
,Analoukas,,,,
,Xirolimni,,,,
,Chonos,,,,
,Mitato,,,,
,Vrysidi (Magasa),,,,
,Arniko,,,,
,Stavromenos,,,,
,Laggada,,,,
,Kellaria,,,,
,Adravasti,,,,
,Klisidi,,,,
,Zakros,,,,
,Karydi,,,,
,Sitanos,,,,
,Katsidoni,,,,
,Sandali,,,,
,Maronia,,,,
,Zakanthos,,,,
,Katelionas,,,,
,Nea Praesos (Vaveli),,,,
,Epano Episkopi,,,,
,Agios Georgios (Tourtouli),,,,
,Agios Spyridon (Kanene),,,,
,Sykia,,,,
,Papagiannades,,,,
,Skordilo,,,,
,Kato Krya,,,,
,Sklavi,,,,
,Lithines,,,,
,Kalo Nero,,,,
,Perivolakia,,,,
,Etia,,,,
,Armeni,,,,
,Chandras,,,,
,Ziros,,,,
,Mesa Apidi,,,,
,Exo Apidi,,,,
,Epano Perivolakia,,,,
,Lamnoni,,,,
,Agia Triada,,,,
,Chametoulo,,,,
,Kalo Chorio,,,,
,Xerokampos,,,,
,Goudouras,,,,
,Palaikastro,,,,
,Agathia,,,,
,Azokeramos,,,,
,Kato Zakros,,,,
,Makrilia,,,,
,Meseleri,,,,
,Prina,,,,
,Potami,,,,
,Gra-Lygia,,,,
,Kalogeri,,,,
,Stomio,,,,
,Nea Anatoli,,,,
,Ammoudares,,,,
,Anatoli,,,,
,Kalamafka,,,,
,Kopanes,,,,
,Myrtos,,,,
,Mythi,,,,
,Malles,,,,
,Agios Georgios,,,,
,Christos,,,,
,Metaxochori (Parsas),,,,
,Mournies,,,,
,Gdochia,,,,
,Loutraki,,,,
,Agios Georgios,,,,
,Tertsa,,,,
,Sykologos,,,,
,Pente Petres,,,,
,Psari Forada,,,,
,Ano Vigla,,,,
,Kato Vigles,,,,
,Sisi,,,,
,Memes,,,,
,Paralia Milatou,,,,
,Milatos,,,,
,Tsampion,,,,
,Agori,,,,
,Vrachasi,,,,
,Latsida,,,,
,Anogia,,,,
,Amygdalolakkos,,,,
,Agios Antonios,,,,
,Adravastos,,,,
,Petros,,,,
,Zourva,,,,
,Xirolimni,,,,
,Peronides,,,,
,Souvlos,,,,
,Amygdalea,,,,
,Romanos,,,,
,Kourounes,,,,
,Nofalias,,,,
,Perampela,,,,
,Makrigennisa,,,,
,Dilakkos,,,,
,Koudoumalos,,,,
,Finokalia,,,,
,Patsopoulos,,,,
,Valtos,,,,
,Skinias,,,,
,Agios Georgios,,,,
,Epano & Kato Loumas,,,,
,Selles,,,,
,Mironikitas,,,,
,Brouchas,,,,
,Chondrovolaki,,,,
,Karydi,,,,
,Dories,,,,
,Chavgas,,,,
,Plaka,,,,
,Kastelli Fournis,,,,
,Fourni,,,,
,Epano Pines,,,,
,Kato Pines,,,,
,Epano Elounda,,,,
,Kato Elounda,,,,
,Mavrikiano,,,,
,Schisma Eloundas,,,,
,Ellinika,,,,
,Atzimbragia,,,,
,Kalos Lakkos,,,,
,Agia Pelagia,,,,
,Agios Ioannis (Lousesto),,,,
,Dyo Prinoi,,,,
,Drakkos,,,,
,Katsikia,,,,
,Pissidos,,,,
,Xirokambos,,,,
,Agios Nikolaos,,,,
,Limnes,,,,
,Choumeriakos,,,,
,Nikithianos,,,,
,Neapoli,,,,
,Voulismeni,,,,
,Vryses,,,,
,Agios Konstantinos,,,,
,Amygdali,,,,
,Ano Amigdali,,,,
,Zenia,,,,
,Roussapidia,,,,
,Exo Potami,,,,
,Roussakiana,,,,
,Mesa Potami,,,,
,Mesa Lasithi,,,,
,Mesa Lasithaki,,,,
,Agios Konstantinos,,,,
,Tapes,,,,
,Vlachides,,,,
,Peronides,,,,
,Karterides,,,,
,Exo Lakkonia,,,,
,Marnellides,,,,
,Fioretsides,,,,
,Flamouriana,,,,
,Chamilo,,,,
,Schisma,,,,
,Kakokamotes,,,,
,Analipsi,,,,
,Roussa Limni,,,,
,Ammoudara,,,,
,Mardati,,,,
,Istron,,,,
,Kalo Chorio,,,,
,Pyrgos,,,,
,Kritsa,,,,
,Kroustas,,,,
,Katharo,,,,
,Kopraki,,,,
,Agios Dimitrios,,,,
,Pachykormos,,,,
,Keratidia,,,,
,Malia,,,,
,Stalida,,,,
,Koutouloufari,,,,
,Piskopiano,,,,
,Limin Chersonisou,,,,
,Analipsi,,,,
,Chersonisos,,,,
,Agriana,,,,
,Gouves,,,,
,Kato Gouves (Finix),,,,
,Gournes,,,,
,Chani tou Kokkini,,,,
,Vathianos Kambos,,,,
,Mochos,,,,
,Krasi,,,,
,Avdou,,,,
,Gonies,,,,
,Potamies,,,,
,Kalo Chorio,,,,
,Koxari,,,,
,Skotino,,,,
,Kainourio Chorio,,,,
,Galifa,,,,
,Charaso,,,,
,Smari,,,,
,Sambas,,,,
,Zofori,,,,
,Apostoli,,,,
,Thrapsano,,,,
,Archontiko (Alitzani),,,,
,Arkalohori,,,,
,Mousouta,,,,
,Kasanos,,,,
,Ano & Kato Poulia,,,,
,Lefkochori (Voutoufou),,,,
,Evaggelismos (Mouchtari),,,,
,Monastiraki,,,,
,Sklaverochori,,,,
,Archagellos (Varvaro),,,,
,Kardoulianos,,,,
,Kastelli,,,,
,Roussochoria,,,,
,Avli,,,,
,Nipiditos,,,,
,Panagia,,,,
,Afrati,,,,
,Geraki,,,,
,Armacha,,,,
,Agia Paraskevi,,,,
,Liliano,,,,
,Mathia,,,,
,Amariano,,,,
,Kastamonitsa,,,,
,Tichos,,,,
,Lyttos (Xidas),,,,
,Bitzariano (Pigi),,,,
,Aski,,,,
,Sfendili,,,,
,Tzermiado,,,,
,Marmaketo,,,,
,Laggou,,,,
,Pinakiano,,,,
,Kato Metohi,,,,
,Agios Charalambos (Gerodomouri,,,,
,Plati,,,,
,Psychro,,,,
,Magoulas,,,,
,Kaminaki,,,,
,Avrakontes,,,,
,Agios Georgios,,,,
,Machera,,,,
,Ini,,,,
,Vakiotes,,,,
,Lagouta,,,,
,Ano Kastelliana,,,,
,Kato Kastelliana,,,,
,Demati,,,,
,Tsoutsouros,,,,
,Skinias,,,,
,Karavados,,,,
,Martha,,,,
,Thomadiano,,,,
,Embaros,,,,
,Milliarades,,,,
,Katofygi,,,,
,Kato Symi,,,,
,Kalami,,,,
,Dermatos,,,,
,Agios Ioannis,,,,
,Kastri,,,,
,Mesi,,,,
,Kato Viannos,,,,
,Pervola,,,,
,Chondros,,,,
,Keratokambos,,,,
,Ano Viannos,,,,
,Loutraki,,,,
,Vachos,,,,
,Amiras,,,,
,Kefalovrisi,,,,
,Krevatas,,,,
,Agios Vasilios,,,,
,Pefkos,,,,
,Ano Kornias,,,,
,Syndonia,,,,
,Nea Arvi,,,,
,Achendrias,,,,
,Agia Marina,,,,
,Mournia,,,,
,Prinias,,,,
,Amygdalos,,,,
,Paranymfi,,,,
,Kapetaniana,,,,
,Koumassa,,,,
,Koukia,,,,
,Fournofaraggo,,,,
,Agios Nikolaos,,,,
,Pentamodi,,,,
,Pyrgou,,,,
,Agios Myron,,,,
,Siva,,,,
,Dafnes,,,,
,Agios Syllas,,,,
,Tsaggaraki,,,,
,Profitis Ilias (Kanli Kastelli,,,,
,Epano Archanes,,,,
,Kounavi,,,,
,Peza,,,,
,Kalloni,,,,
,Agies Paraskies,,,,
,Myrtia (Varvaro Ag.Paraskion),,,,
,Sgourokefali,,,,
,Kerassia,,,,
,Avgeniki,,,,
,Venerato,,,,
,Sinapi,,,,
,Pyrgos,,,,
,Kyparissos (Dourvoutzi),,,,
,Galeni,,,,
,Roukani,,,,
,Choudetsi,,,,
,Agios Vassilios,,,,
,Melesses,,,,
,Astritsi,,,,
,Voni,,,,
,Galatas,,,,
,Choumeri,,,,
,Agia Varvara,,,,
,Pirouniana,,,,
,Megali Vryssi,,,,
,Preveliana,,,,
,Agios Thomas,,,,
,Douli,,,,
,Kolena,,,,
,Genna,,,,
,Arkadi,,,,
,Damania,,,,
,Kardiotissa,,,,
,Metaxochori (Kako Chorio),,,,
,Armanogia,,,,
,Amourgelles,,,,
,Stironas,,,,
,Panorama (Gournia),,,,
,Patsideros,,,,
,Zinta,,,,
,Miliarissi,,,,
,Partira,,,,
,Kato Moulia,,,,
,Metochi Vleroma,,,,
,Valis,,,,
,Inia,,,,
,Larani,,,,
,Atsipades,,,,
,Melidochori,,,,
,Ano Akria,,,,
,Kastelli (Tsifout-Kastelli),,,,
,Charaki,,,,
,Tefeli,,,,
,Ligortynos,,,,
,Aposelemi,,,,
,Pyrathi,,,,
,Badia,,,,
,Tourloti,,,,
,Drapeti,,,,
,Garipa,,,,
,Gaggales,,,,
,Stoli,,,,
,Rizikas,,,,
,Loures,,,,
,Stavies,,,,
,Dionysi,,,,
,Panagia,,,,
,Moria,,,,
,Sokaras,,,,
,Metochia Sokara,,,,
,Asimi,,,,
,Velouli,,,,
,Apoini,,,,
,Sternes,,,,
,Charakas,,,,
,Doraki,,,,
,Pyrgos,,,,
,Pretoria (Protoria),,,,
,Plakiotissa,,,,
,Kefalados,,,,
,Rotassi,,,,
,Neochori,,,,
,Kalyvia,,,,
,Messochori,,,,
,Filippi,,,,
,Sarakiniko,,,,
,Metochia,,,,
,Kastri,,,,
,Vatsiana,,,,
,Xenaki,,,,
,Ammoudara,,,,
,Gazi,,,,
,Ergatikes Katikies,,,,
,Agia Marina (Tsalikaki),,,,
,Tylissos,,,,
,Agia Pelagia,,,,
,Rogdia,,,,
,Kavrochori,,,,
,Kato Kalesia,,,,
,Keramoutsi,,,,
,Kamari,,,,
,Korfes,,,,
,Petrokefali,,,,
,Stavrakia,,,,
,Voutes,,,,
,Knossos,,,,
,Vassilies,,,,
,Agios Vlassis,,,,
,Kato Archanes,,,,
,Patsides,,,,
,Skalani,,,,
,Kallithea (Babali Metochi),,,,
,Karteros,,,,
,Karteros,,,,
,Aitania,,,,
,Episkopi,,,,
,Epano Vathia,,,,
,Giofyrakia,,,,
,Matala,,,,
,Kali Limenes,,,,
,Agios Markos,,,,
,Platia Peramata,,,,
,Antiskari,,,,
,Gerokampos,,,,
,Lentas,,,,
,Agios Kyrillos,,,,
,Vassiliki,,,,
,Pigaidakia,,,,
,Krotos,,,,
,Krousonas,,,,
,Sarchos,,,,
,Kato Assites,,,,
,Ano Assites,,,,
,Prinias,,,,
,Ano Moulia,,,,
,Flathiakes,,,,
,Choustouliana,,,,
,Platanos,,,,
,Plora,,,,
,Agii Deka,,,,
,Apomarma,,,,
,Gergeri,,,,
,Nyvritos,,,,
,Zaros,,,,
,Moroni,,,,
,Kato Stalos,,,,
,Galatas,,,,
,Daratso,,,,
,Kato Galatas,,,,
,Makrys Tichos,,,,
,Pervolia,,,,
,Vamvakopoulo,,,,
,Lygides,,,,
,Potistiria,,,,
,Varypetro,,,,
,Myloniana,,,,
,Falassarna,,,,
,Limeniskos,,,,
,Platanos,,,,
,Gramvoussa (Lardas),,,,
,Zerviana,,,,
,Fournados,,,,
,Karefiliana,,,,
,Azogyras,,,,
,Piperiana,,,,
,Neo Chorio,,,,
,Kalyviani,,,,
,Viglia,,,,
,Roufas,,,,
,Kastelli,,,,
,Ampelouzos,,,,
,Mitropoli,,,,
,Galia,,,,
,Vorizia,,,,
,Kamares,,,,
,Magarikari,,,,
,Grigoria,,,,
,Klima,,,,
,Platanos,,,,
,Lochria,,,,
,Lagoli,,,,
,Kalochorafitis,,,,
,Skourvoula,,,,
,Laloumas,,,,
,Faneromeni,,,,
,Vori,,,,
,Kalyvia,,,,
,Mires,,,,
,Agios Ioannis,,,,
,Kamilari,,,,
,Kalamaki,,,,
,Sivas,,,,
,Pitsidia,,,,
,Kousses,,,,
,Petrokefalo,,,,
,Pombia,,,,
,Listaros,,,,
,Peri,,,,
,Kappariana,,,,
,Bali,,,,
,Agia,,,,
,Dafnedes,,,,
,Damavolos,,,,
,Abdanirtes,,,,
,Kefali,,,,
,Kastri,,,,
,Argoulio,,,,
,Agios Mamas,,,,
,Abdellas,,,,
,Kalyvos,,,,
,Agios Ioannis,,,,
,Garazo,,,,
,Apladiana,,,,
,Livadia,,,,
,Krana,,,,
,Zoniana,,,,
,Veni,,,,
,Axos,,,,
,Kryoneri,,,,
,Agridia,,,,
,Doxaro,,,,
,Makrygiannio,,,,
,Theodora,,,,
,Aloides,,,,
,Almyrida,,,,
,Sisses,,,,
,Chonos,,,,
,Aimonas,,,,
,Anogia,,,,
,Aidonochori (Metochia Kamariot,,,,
,Damasta,,,,
,Paralia Fodele,,,,
,Fodele,,,,
,Achlada,,,,
,Marathos,,,,
,Astyraki,,,,
,Gonies,,,,
,Kamariotis,,,,
,Skaloti,,,,
,Kallikratis,,,,
,Argoules,,,,
,Ano Rodakino,,,,
,Kato Rodakino,,,,
,Alones,,,,
,Sellia,,,,
,Kali Sykea,,,,
,Plakias,,,,
,Myrthios,,,,
,Kokkina,,,,
,Mariou,,,,
,Damnoni,,,,
,Aggouseliana,,,,
,Agios Vassilios,,,,
,Koxare,,,,
,Atsipades,,,,
,Agia Pelagia,,,,
,Frati,,,,
,Asomatos,,,,
,Lefkogia,,,,
,Karines,,,,
,Lambini,,,,
,Dariviana,,,,
,Ano Mixorrouma,,,,
,Mixorrouma,,,,
,Mourne,,,,
,Spili,,,,
,Drimiskos,,,,
,Kerames,,,,
,Agalianos,,,,
,Patsos,,,,
,Kissos,,,,
,Vatos,,,,
,Ardaktos,,,,
,Agia Paraskevi,,,,
,Rodakinokampos,,,,
,Akoumia,,,,
,Platanes,,,,
,Kentrochori,,,,
,Vrysses,,,,
,Saktouria,,,,
,Kato Saktouria,,,,
,Agia Galini,,,,
,Kokkinos Pyrgos,,,,
,Rizikas,,,,
,Apodoulou,,,,
,Agia Paraskevi,,,,
,Agios Ioannis,,,,
,Nithavris,,,,
,Melambes,,,,
,Agios Georgios,,,,
,Orne,,,,
,Krya Vryssi,,,,
,Nea Krya Vryssi,,,,
,Ano Meros,,,,
,Chordaki,,,,
,Kouroutes,,,,
,Fourfouras,,,,
,Vizari,,,,
,Petrochori,,,,
,Lambiotes,,,,
,Platania,,,,
,Monastiraki,,,,
,Amari,,,,
,Opsigias,,,,
,Gerakari,,,,
,Vrysses,,,,
,Drygies,,,,
,Meronas,,,,
,Vistagi,,,,
,Pervolia,,,,
,Platanes,,,,
,Adelianos Kambos,,,,
,Pigianos Kampos,,,,
,Sfakaki,,,,
,Stavromenos,,,,
,Skaleta,,,,
,Panormos,,,,
,Roumeli,,,,
,Exandis,,,,
,Achlades,,,,
,Melidoni,,,,
,Perama,,,,
,Aggeliana,,,,
,Alfa,,,,
,Pevriana,,,,
,Margarites,,,,
,Choumeri,,,,
,Keramota,,,,
,Garipas,,,,
,Orthes,,,,
,Archea Eleftherna (Prines),,,,
,Eleftherna (Anarchodometocha),,,,
,Erfi,,,,
,Skouloufia,,,,
,Roupes,,,,
,Amnatos,,,,
,Kyrianna,,,,
,Loutra,,,,
,Asteri,,,,
,Xamalevri,,,,
,Magnissia,,,,
,Episkopi,,,,
,Prinos,,,,
,Pigi,,,,
,Adele,,,,
,Messi,,,,
,Maroulas,,,,
,Giannoudi,,,,
,Prassies,,,,
,Chromonastiri,,,,
,Myli,,,,
,Xiro Chorio,,,,
,Selli,,,,
,Apostoli,,,,
,Agia Fotini,,,,
,Thronos,,,,
,Klissidi,,,,
,Violi Charaki,,,,
,Panorama,,,,
,Gallos,,,,
,Roussospiti,,,,
,Kapediana,,,,
,Oros,,,,
,Goulediana,,,,
,Kare,,,,
,Ambelaki,,,,
,Armeni,,,,
,Fotinos,,,,
,Koumi,,,,
,Kastellos,,,,
,Atsipopoulo,,,,
,Prines,,,,
,Gerani,,,,
,Vederi,,,,
,Gonia,,,,
,Agios Andreas,,,,
,Ano Valsamonero,,,,
,Kato Valsamonero,,,,
,Kalonyktis,,,,
,Kato Malaki,,,,
,Ano Malaki,,,,
,Saitoures,,,,
,Roustika,,,,
,Moundros,,,,
,Agios Konstantinos,,,,
,Karoti,,,,
,Episkopi,,,,
,Koufi,,,,
,Archontiki (Arkoudena),,,,
,Agios Georgios,,,,
,Argyroupoli,,,,
,Arolithi,,,,
,Roumbado,,,,
,Myriokefala,,,,
,Assi Gonia,,,,
,Maroulou,,,,
,Patima,,,,
,Kournas,,,,
,Dramia,,,,
